username,gender,age,marital_status
KatieBristol2018.csv,woman,['35-49' '50-64'],unknown
KatieP123456.csv,woman,35-49,unknown
Katliappis.csv,woman,35-49,family
KefaliniaSunseeker36.csv,woman,35-49,family
KefaloniaMike.csv,woman,35-49,family
KeithM449.csv,woman,35-49,family
KiiraAndMikko.csv,man,50-64,family
Kkolenac.csv,man,35-49,unknown
Konstantina1202.csv,woman,35-49,family
KristinaP1821.csv,man,35-49,family
KristinaP2066.csv,man,35-49,couple
L5064XRsimonea.csv,woman,35-49,family
L8471HVjs.csv,man,35-49,couple
LauraM13162.csv,woman,35-49,unknown
LaurenceD285.csv,man,50-64,family
LauriVaher.csv,man,35-49,family
Leedsunited70.csv,woman,35-49,family
Legiron09.csv,['man' 'woman'],35-49,unknown
LeoAMav.csv,man,25-34,family
LetitiaSavu.csv,woman,35-49,family
Liftdoctor1.csv,man,35-49,family
Lilyah1.csv,woman,35-49,unknown
LinB323.csv,woman,35-49,family
LisaH2580.csv,woman,35-49,family
Littlegem91.csv,woman,35-49,couple
Livingstone1986.csv,woman,35-49,family
LizMuntean.csv,woman,35-49,unknown
LouiseCantrillGodden.csv,woman,50-64,family
LoulaS11.csv,woman,35-49,unknown
LucaMartinetto.csv,man,['35-49' '50-64'],unknown
LucasS8668.csv,woman,35-49,couple
LucyI88.csv,woman,35-49,unknown
Lucy_Alex_SPb.csv,woman,50-64,unknown
LuteH1.csv,man,35-49,family
M2056PEsarahc.csv,woman,35-49,family
M9905BZtraceys.csv,woman,35-49,unknown
MECR8.csv,woman,35-49,unknown
MESal2013.csv,woman,35-49,family
Mabel1018.csv,woman,35-49,family
MadalenaCS.csv,woman,18-24,family
Madcow4762.csv,woman,50-64,family
Malmarita.csv,woman,35-49,unknown
Malt73.csv,woman,35-49,family
MancinPhil.csv,woman,35-49,family
Maounes123.csv,woman,35-49,family
MariaD693.csv,woman,25-34,family
Mariamcdx.csv,woman,50-64,unknown
MarieP3768.csv,woman,35-49,couple
Marioco9.csv,woman,35-49,family
MarkE992.csv,man,35-49,family
Markv2624.csv,woman,35-49,unknown
MarsB123.csv,woman,35-49,family
MartinWJH.csv,man,50-64,family
Matteotacconi.csv,['man' 'woman'],35-49,family
Mbscarey.csv,woman,35-49,couple
McihaelMuenchen.csv,woman,35-49,unknown
Meander685549.csv,woman,35-49,family
Medden30.csv,woman,35-49,couple
Meeks81.csv,woman,50-64,family
Member161.csv,woman,35-49,unknown
MiaPralina.csv,man,35-49,family
MichaelJ6137.csv,woman,35-49,unknown
Mike-Helsingborg1.csv,man,35-49,family
Mike57d.csv,woman,35-49,family
MissChef03.csv,man,35-49,family
MissyTMaggee.csv,woman,35-49,family
MollyWilcox95.csv,woman,35-49,couple
MorrisonJo.csv,woman,['35-49' '50-64'],unknown
MrMZR.csv,woman,35-49,family
MrsGoffer.csv,woman,25-34,couple
MrsandmisterH.csv,woman,35-49,unknown
Mrsbonjovi59.csv,woman,35-49,unknown
Mtbellini.csv,woman,35-49,family
